id,NEIGHBORS
40027140005,"40027140060,40027140009,40027140086,40027140047"
40027140006,"40027140042,40027140018,40027140008,40027140013,40027140011"
40027140007,"40027140040,40027140088,40017090302,40087440014,40109550165"
40027140008,"40027140014,40027140006,40027140015,40027140018,40027140013,40027140002"
40027140009,"40027140074,40027140086,40027140020,40027140043,40027140088,40027140089,40027140005,40027140048"
40027140010,"40109550233,40027140060,40027140054,40027140090,40109550232,40027140041,40027140080"
40027140011,"40027140056,40027140051,40027140006,40027140019"
40027140012,"40027140030,40027140063,40027140026,40027140036,40027140025,40027140094,40027140055"
40027140013,"40027140014,40027140006,40027140008,40027140035,40027140042"
40027140014,"40027140015,40027140028,40027140068,40027140067,40027140008,40027140013"
40027140015,"40027140014,40027140028,40027140008,40027140032,40027140002"
40027140016,"40027140058,40027140017,40027140022,40027140037"
40027140017,"40027140016,40027140087,40027140072,40027140037"
40027140018,"40027140006,40027140077,40027140008,40027140002,40027140019"
40027140019,"40027140077,40027140051,40027140018,40027140059,40027140011"
40027140020,"40027140088,40027140009,40027140086,40027140004"
40027140021,"40027140022,40027140058,40027140044,40027140054,40027140047,40027140048"
40027140022,"40027140016,40027140021,40027140072,40027140070"
40027140024,"40027140001,40027140063,40027140044,40027140072,40027140091,40027140055,40027140070"
40027140025,"40027140036,40027140094,40027140049,40027140012"
40027140026,"40027140003,40027140012,40027140081"
40027140027,"40027140074,40027140053,40027140076,40027140073"
40027140028,"40027140014,40027140015,40027140067,40027140032,40027140082"
40027140029,"40125630037,40027140095,40087440028,40027140038,40027140034,40027140045,40087440023,40027140083,40027140057"
40027140030,"40027140083,40027140081,40027140012,40027140094,40027140082"
40027140032,"40027140028,40027140081,40027140015,40027140082"
40027140034,"40125630042,40125630037,40087440023,40087440003,40027140029,40087440002"
40027140035,"40027140092,40087440028,40027140068,40027140093,40027140039,40027140056,40027140057,40027140042,40027140013"
40027140036,"40027140063,40027140087,40027140049,40027140065,40027140025,40027140012,40027140078"
40027140037,"40109550233,40027140087,40027140017,40027140090,40109550248,40027140016"
40027140038,"40125630027,40125630037,40027140095,40027140049,40027140029,40027140045"
40027140039,"40027140071,40027140092,40087440028,40027140074,40087440017,40027140053,40027140059,40027140035"
40027140040,"40109550228,40027140088,40027140069,40109550229,40027140004,40027140007"
40027140041,"40027140060,40027140050,40109550232,40027140010"
40027140042,"40027140056,40027140006,40027140093,40027140013,40027140035"
40027140043,"40027140089,40027140009,40027140073"
40027140044,"40027140021,40027140089,40027140024,40027140048,40027140091,40027140070"
40027140045,"40027140095,40027140083,40027140049,40027140038,40027140029,40027140094"
40027140047,"40027140060,40027140021,40027140005,40027140054,40027140048"
40027140048,"40027140021,40027140089,40027140009,40027140044,40027140047"
40027140049,"40027140038,40027140045,40125630027,40027140036,40125630022,40027140025,40027140094,40027140065"
40027140050,"40027140069,40027140061,40109550231,40109550232,40027140041"
40027140051,"40027140056,40027140011,40027140059,40027140019"
40027140053,"40027140074,40027140071,40027140027,40027140039"
40027140054,"40027140060,40027140021,40027140058,40027140047,40027140010,40027140080"
40027140055,"40027140001,40027140063,40027140024,40027140003,40027140012"
40027140056,"40027140051,40027140092,40027140093,40027140042,40027140035,40027140011"
40027140057,"40087440028,40027140068,40027140029,40027140067,40027140035"
40027140058,"40027140016,40027140021,40027140090,40027140054"
40027140059,"40027140039,40027140071,40027140092,40027140077,40027140051,40027140019"
40027140060,"40027140061,40027140005,40027140047,40027140054,40027140010,40027140041"
40027140061,"40027140060,40027140050,40027140086,40027140004"
40027140063,"40027140036,40027140087,40027140024,40027140012,40027140055"
40027140064,"40125630022,40027140065,40125630025,40027140078,40109550067,40109550254"
40027140065,"40027140036,40125630022,40027140049,40027140064"
40027140067,"40027140083,40027140014,40027140028,40027140057,40027140068,40027140082"
40027140068,"40027140035,40027140014,40027140057,40027140067"
40027140069,"40027140050,40027140040,40109550229,40109550231,40027140004,40109550230"
40027140070,"40027140022,40027140072,40027140044,40027140024"
40027140071,"40027140039,40027140053,40027140076,40027140059"
40027140072,"40027140022,40027140087,40027140024,40027140017,40027140070"
40027140073,"40027140043,40027140089,40027140076,40027140077,40027140027,40027140074,40027140091"
40027140074,"40027140039,40027140053,40027140009,40027140088,40087440017,40027140027,40027140073"
40027140076,"40027140073,40027140071,40027140027,40027140077"
40027140077,"40027140003,40027140091,40027140073,40027140001,40027140076,40027140018,40027140059,40027140019"
40027140078,"40109550253,40027140036,40027140087,40109550254,40027140064"
