,GEOID20,NAME,NAME20,CON20D,CON20R,STATEFP20,VAP20,2MOREVAP20,BVAP20,HISP20
2436,42101005832,PHILADELPHIA WARD 58 PRECINCT 32,PHILADELPHIA WARD 58 PRECINCT 32,158.0,132.0,42.0,632.0,13.0,25.0,48.0
2437,42101005720,PHILADELPHIA WARD 57 PRECINCT 20,PHILADELPHIA WARD 57 PRECINCT 20,217.0,132.0,42.0,661.0,21.0,72.0,97.0
2438,42101005709,PHILADELPHIA WARD 57 PRECINCT 09,PHILADELPHIA WARD 57 PRECINCT 09,212.0,133.0,42.0,605.0,7.0,109.0,95.0
2439,42101005726,PHILADELPHIA WARD 57 PRECINCT 26,PHILADELPHIA WARD 57 PRECINCT 26,294.0,135.0,42.0,779.0,14.0,188.0,112.0
2440,42101005518,PHILADELPHIA WARD 55 PRECINCT 18,PHILADELPHIA WARD 55 PRECINCT 18,164.0,132.0,42.0,779.0,30.0,41.0,235.0
2441,42101006521,PHILADELPHIA WARD 65 PRECINCT 21,PHILADELPHIA WARD 65 PRECINCT 21,234.0,136.0,42.0,700.0,29.0,111.0,177.0
2442,42101006417,PHILADELPHIA WARD 64 PRECINCT 17,PHILADELPHIA WARD 64 PRECINCT 17,122.0,142.0,42.0,724.0,15.0,40.0,164.0
2443,42039000430,SPRINGBORO,SPRINGBORO,61.0,124.0,42.0,304.0,16.0,3.0,5.0
2444,42129000990,IRWIN WARD 04,IRWIN WARD 04,103.0,137.0,42.0,397.0,16.0,11.0,6.0
2445,42105000180,OSWAYO,OSWAYO,16.0,121.0,42.0,177.0,10.0,1.0,3.0
2446,42003003940,MCKEESPORT WARD 12 DISTRICT 02,MCKEESPORT WARD 12 DISTRICT 02,143.0,158.0,42.0,438.0,19.0,47.0,20.0
2447,4200300B390,PITTSBURGH WARD 19 DISTRICT 27,PITTSBURGH WARD 19 DISTRICT 27,208.0,138.0,42.0,509.0,16.0,17.0,22.0
2448,4200300A290,PITTSBURGH WARD 16 DISTRICT 05,PITTSBURGH WARD 16 DISTRICT 05,317.0,143.0,42.0,699.0,20.0,63.0,48.0
2449,42003007060,PITTSBURGH WARD 07 DISTRICT 04,PITTSBURGH WARD 07 DISTRICT 04,619.0,107.0,42.0,1266.0,32.0,146.0,56.0
2450,42131000190,NORTH BRANCH,NORTH BRANCH,33.0,118.0,42.0,185.0,10.0,0.0,5.0
2451,42063000320,ERNEST,ERNEST,67.0,125.0,42.0,311.0,9.0,1.0,8.0
2452,42107001725,WEST MAHANOY PRECINCT 01,WEST MAHANOY PRECINCT 01,86.0,151.0,42.0,474.0,17.0,1.0,61.0
